GPS TOW [s],North,East,Up
123713,2815051.60197283,517594.481711739,5680865.27846273
123714,2815054.07936126,517586.919316395,5680864.14460597
123715,2815056.129702,517579.448998695,5680863.20651109
123716,2815057.85401712,517571.660635043,5680862.46468635
123717,2815059.35592384,517563.515707545,5680861.84032254
123718,2815060.77337187,517555.135687845,5680861.27570086
123719,2815062.13656713,517546.52905375,5680860.722778
123720,2815063.540068,517537.734100872,5680860.18790189
123721,2815064.97087677,517528.80480337,5680859.59364981
123722,2815066.40312051,517519.863459999,5680859.03406278
123723,2815067.83690753,517511.088674432,5680858.48842613
123724,2815069.26648449,517502.56448664,5680857.92346357
123725,2815070.7352425,517493.959755722,5680857.35411001
123726,2815072.24052382,517485.402245703,5680857.05127911
123727,2815073.62975699,517477.109782451,5680856.52796126
123728,2815075.01455976,517469.292206435,5680856.05512298
123729,2815076.21641884,517461.924790712,5680855.69711454
123730,2815077.3646427,517455.029926482,5680855.28775757
123731,2815078.49812833,517448.494245813,5680854.96603585
123732,2815079.74777071,517441.83128068,5680854.63569347
123733,2815081.05078842,517434.663920384,5680854.28104773
123734,2815082.45829576,517426.896274703,5680853.76767007
123735,2815083.84281461,517418.499744719,5680853.2728436
123736,2815085.32013738,517409.537474367,5680852.84060314
123737,2815086.9182648,517400.162239372,5680852.3729793
123738,2815088.60392335,517390.362443473,5680851.88754417
123739,2815090.33448655,517380.299612502,5680851.49495114
123740,2815092.12367715,517370.324694108,5680851.11340638
123741,2815093.66201177,517360.724507333,5680850.81786736
123742,2815094.7161072,517351.745369954,5680850.7903327
123743,2815095.14434984,517343.403065276,5680850.96591828
123744,2815095.0269652,517335.747796264,5680851.801274
123745,2815094.85075087,517328.970041383,5680852.25842889
123746,2815094.63448337,517323.28210148,5680852.65390903
123747,2815094.4650635,517318.50893328,5680853.0082107
123748,2815094.32781081,517314.189078328,5680853.38701309
123749,2815094.1715533,517309.758494204,5680853.59471289
123750,2815094.20454259,517305.137313283,5680853.70070263
123751,2815094.32900509,517300.409945782,5680853.88434795
123752,2815094.57536886,517295.349831488,5680854.11316766
