satelite_id,Datetime,a0,a1,a2,IODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Codes on L2 channel,GPS Week,L2 P,SV accurracy,SV health,TGD,IODC,t_tm,Fit Interval
G19,2023-12-11 22:00:00,0.00041116354987030004,5.229594535194e-12,0.0,6.0,113.3125,4.540189117101e-09,2.752438994818,5.833804607391e-06,0.009362518670969,7.878988981246999e-07,5153.672677994,165600.0,2.421438694e-08,-2.196783379223,1.9371509551999997e-07,0.9705712880756,369.5625,2.455945818173,-8.278916278665e-09,1.80364655769e-10,1.0,2292.0,0.0,2.0,0.0,-1.536682248116e-08,6.0,158418.0,4.0
G19,2023-12-12 00:00:00,0.0004112017340958,5.229594535194e-12,0.0,7.0,105.46875,4.39375444608e-09,-2.480567541366,5.662441253662e-06,0.009361499920487001,8.530914783477999e-07,5153.674524307,172800.0,-8.568167686462001e-08,-2.196843015078,7.636845111847e-08,0.9705732717926001,370.9375,2.455947661449,-8.187483898710999e-09,2.539391490134e-10,1.0,2292.0,0.0,2.0,0.0,-1.536682248116e-08,7.0,165618.0,4.0
G20,2023-12-11 00:00:00,0.000397284515202,-1.932676241267e-12,0.0,28.0,-90.125,4.4191126452080005e-09,0.3063294545256,-4.6435743570329995e-06,0.004073873278685,1.12522393465e-05,5153.674943924,86400.0,5.2154064178470006e-08,-0.3800315614057,1.117587089539e-07,0.9517576671100001,159.0,-2.72759688009,-7.931401803292001e-09,1.921508609975e-10,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,28.0,79218.0,4.0
G20,2023-12-11 02:00:00,0.0003972705453634,-1.932676241267e-12,0.0,29.0,-87.46875,4.4041120203719996e-09,1.35654938911,-4.475936293602e-06,0.004074033349752,1.1190772056580002e-05,5153.674919128,93600.0,-8.009374141693e-08,-0.38008780182830004,3.5390257835390003e-08,0.9517587511323001,161.15625,-2.727638129991,-7.879613931834e-09,7.464596644698e-11,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,29.0,86418.0,4.0
G20,2023-12-11 04:00:00,0.00039725704118610003,-1.932676241267e-12,0.0,30.0,-98.25,4.372324982028e-09,2.406415780282,-5.18374145031e-06,0.0040732664056120005,1.098029315472e-05,5153.677648544,100800.0,-8.195638656615999e-08,-0.3801446259553,-4.4703483581540004e-08,0.9517594738138,165.0,-2.727325581932,-7.832826268654001e-09,9.500395729616e-11,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,30.0,93618.0,4.0
G20,2023-12-11 06:00:00,0.000397243071347,-1.93267624127e-12,0.0,31.0,-102.90625,4.4158982256e-09,-2.82674077084,-5.327165126799999e-06,0.00407271867152,1.03805214167e-05,5153.67888832,108000.0,-4.6566128730800005e-08,-0.380201031688,-9.685754776e-08,0.951760196495,172.25,-2.72717772919,-7.834612057330001e-09,1.10004582132e-10,1.0,2292.0,0.0,2.0,0.0,-8.38190317154e-09,31.0,100806.0,4.0
G20,2023-12-11 08:00:00,0.00039722956717,-1.93267624127e-12,0.0,32.0,-113.1875,4.509473551960001e-09,-1.77671817366,-5.75929880142e-06,0.0040738513926,1.0265037417400002e-05,5153.67657661,115199.99999999999,9.685754776e-08,-0.380258407335,-7.450580596920001e-09,0.951761317091,175.5625,-2.72702128473,-7.89068582159e-09,2.41795786051e-10,1.0,2292.0,0.0,2.0,0.0,-8.38190317154e-09,32.0,108006.0,4.0
G20,2023-12-11 10:00:00,0.000397215597332,-1.93267624127e-12,0.0,62.0,-115.68750000000001,4.4941157693899995e-09,-0.726420318208,-5.852431058879999e-06,0.00407368759625,1.05369836092e-05,5153.67734528,122400.0,6.14672899246e-08,-0.380315229999,3.91155481339e-08,0.9517631354980001,170.65625,-2.72714073638,-7.89747181854e-09,2.55724937684e-10,1.0,2292.0,0.0,2.0,0.0,-8.38190317154e-09,62.0,115206.00000000001,4.0
G20,2023-12-11 12:00:00,0.000397202093154,-1.93267624127e-12,0.0,95.0,-112.75,4.46125725784e-09,0.323631328132,-5.83939254284e-06,0.0040730308974199995,1.1114403605500001e-05,5153.67593002,129600.0,2.04890966415e-08,-0.38037214921500007,8.00937414169e-08,0.951764888074,163.46875,-2.72701304704,-7.90890086604e-09,2.43938732456e-10,1.0,2292.0,0.0,2.0,0.0,-8.38190317154e-09,95.0,122405.99999999999,4.0
G20,2023-12-11 14:00:00,0.0003971881233156,-1.932676241267e-12,0.0,99.0,-107.65625000000001,4.361253092268e-09,1.373804910157,-5.749985575676e-06,0.004073470830916999,1.0851770639420001e-05,5153.676509857,136800.0,-8.195638656615999e-08,-0.38042838671220003,5.587935447693e-09,0.9517663875646001,164.40625,-2.727008795799,-7.869613515277e-09,1.446488823494e-10,1.0,2292.0,0.0,2.0,0.0,-8.381903171539e-09,99.0,129618.00000000001,4.0
