satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I02,2025-03-25 00:05:36,0.0006463816389441,1.0800249583549998e-11,0.0,161.0,-80.0625,4.9287767319060004e-09,3.052305404543,-2.4847686290739997e-06,0.002142444835044,-7.029622793198e-06,6493.303236008,173136.0,1.3783574104309998e-07,1.175488051704,1.117587089539e-07,0.5038452541487,298.875,3.076547102582,-4.521616914922e-09,-4.093027633887e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,173436.0
I02,2025-03-25 00:20:48,0.0006463895551860001,9.436007530894001e-12,0.0,162.0,-79.875,4.93591988659e-09,3.118860853782,-2.4735927581789998e-06,0.002142698504031,-6.992369890213e-06,6493.302392959999,174048.0,1.266598701477e-07,1.175483879462,1.1548399925229999e-07,0.5038449688796,298.0,3.076503257464,-4.530188700543001e-09,-4.096599211229e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,174300.0
I02,2025-03-25 00:36:00,0.0006464007310569001,1.1027623258999999e-11,0.0,163.0,-79.8125,4.941634410337e-09,-3.097834709662,-2.4698674678799996e-06,0.002142722136341,-6.914138793945e-06,6493.302507401,174960.0,1.229345798492e-07,1.175479799383,1.1548399925229999e-07,0.5038443690832,295.9375,3.076524812099,-4.5359032242900005e-09,-4.096599211229e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,175164.0
I02,2025-03-25 00:50:24,0.0006464123725890999,1.205080479849e-11,0.0,164.0,-80.1875,4.947348934084e-09,-3.034865007223,-2.481043338776e-06,0.002142995828763,-6.8172812461849995e-06,6493.301876068,175824.0,1.192092895508e-07,1.175475864134,1.1548399925229999e-07,0.503844069185,292.9375,3.076565832322,-4.538760486164e-09,-4.096599211229e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,176028.0
I02,2025-03-25 01:05:36,0.000646420288831,1.0118128557220001e-11,0.0,165.0,-81.375,4.953063457831e-09,-2.96838949768,-2.51829624176e-06,0.0021433649817479998,-6.683170795440999e-06,6493.300977707,176736.0,1.192092895508e-07,1.175471748945,1.1548399925229999e-07,0.5038436859005001,288.9375,3.076601746961,-4.538760486164e-09,-4.096599211229e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,176940.0
I02,2025-03-25 01:20:48,0.0006464296020567,9.777068044059e-12,0.0,166.0,-83.5625,4.958777981578e-09,-2.901940682003,-2.5816261768339997e-06,0.002143823890947,-6.537884473801e-06,6493.299797058,177648.0,1.192092895508e-07,1.175467605961,1.192092895508e-07,0.5038433318743001,284.3125,3.076664380335,-4.5359032242900005e-09,-4.103742365913e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,177852.0
I02,2025-03-25 01:36:00,0.0006464403122663,1.0800249583549998e-11,0.0,167.0,-86.75,4.963063874389001e-09,-2.835539264872,-2.6784837245939997e-06,0.002144396188669,-6.385147571563999e-06,6493.298267364999,178560.0,1.229345798492e-07,1.175463451274,1.266598701477e-07,0.503842909091,279.5625,3.076774415181,-4.533045962417e-09,-4.110885520597e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,178764.0
I02,2025-03-25 01:50:24,0.0006464500911534001,1.125499693444e-11,0.0,168.0,-90.6875,4.965921136262e-09,-2.77260860918,-2.797693014145e-06,0.0021447839681060002,-6.247311830521e-06,6493.297290802,179424.0,1.229345798492e-07,1.175459576004,1.341104507446e-07,0.5038426574691001,275.3125,3.076854673793,-4.52733143867e-09,-4.121600252623e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,179676.0
I02,2025-03-25 02:05:36,0.0006464635953307,1.2846612662539999e-11,0.0,169.0,-95.5625,4.968778398136001e-09,-2.706217210112,-2.9429793357849998e-06,0.002145486767404,-6.120651960373e-06,6493.2953281400005,180336.0,1.229345798492e-07,1.175455531035,1.415610313416e-07,0.5038424073101,271.4375,3.07697495638,-4.520188283986001e-09,-4.1394581393329996e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,180540.0
I02,2025-03-25 02:20:48,0.0006464757025242,1.3301360013429998e-11,0.0,170.0,-100.8125,4.970207029073e-09,-2.639848467256,-3.1031668186189997e-06,0.002145692356862,-6.020069122314e-06,6493.294782639,181248.0,1.229345798492e-07,1.175451395366,1.527369022369e-07,0.5038419728234,268.5,3.077117598208,-4.5130451293020005e-09,-4.1608876033840007e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,181452.0
I02,2025-03-25 02:36:00,0.0006464878097177001,1.296029950026e-11,0.0,171.0,-106.0625,4.971635660009001e-09,-2.573481272168,-3.267079591751e-06,0.002146079670638,-5.9492886066439995e-06,6493.293596267999,182160.0,1.192092895508e-07,1.175447328454,1.639127731323e-07,0.5038416334264001,266.625,3.077261975056,-4.505901974618e-09,-4.185888644778e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,182364.0
I02,2025-03-25 02:50:24,0.0006464975886047,1.1596057447599998e-11,0.0,172.0,-110.625,4.970207029073e-09,-2.510599761746,-3.41609120369e-06,0.002146372338757,-5.912035703659e-06,6493.292646408,183024.0,1.1548399925229999e-07,1.175443494145,1.7508864402769998e-07,0.5038413028069,265.75,3.077391447695,-4.498758819934001e-09,-4.214461263514e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,183228.0
I02,2025-03-25 03:05:36,0.000646507833153,1.1596057447599998e-11,0.0,173.0,-114.625,4.9673497671990004e-09,-2.444208886402,-3.5539269447329997e-06,0.0021465970203280002,-5.897134542465e-06,6493.291858673,183936.0,1.080334186554e-07,1.175439560359,1.862645149231e-07,0.5038409370774,265.8125,3.077512110641,-4.491615665250001e-09,-4.246605459591e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,184140.0
I02,2025-03-25 03:20:48,0.0006465213373303,1.341504685115e-11,0.0,174.0,-117.75,4.961635243452001e-09,-2.3778130386,-3.6619603633879997e-06,0.0021467845654120003,-5.904585123061999e-06,6493.291038513,184848.0,1.0058283805849999e-07,1.175435525631,1.974403858185e-07,0.5038405976804,266.375,3.077627900607,-4.483043879629e-09,-4.2823212330110005e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,185052.0
I02,2025-03-25 03:36:00,0.0006465343758464,1.375610736432e-11,0.0,175.0,-119.68749999999999,4.955920719705001e-09,-2.311356040822,-3.7439167499539996e-06,0.0021468361373990002,-5.926936864853e-06,6493.290851592999,185760.0,8.940696716309e-08,1.175431512846,2.0489096641539998e-07,0.5038402378026,267.25,3.077682591799,-4.475900724945001e-09,-4.3216085837730003e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,185964.0
I02,2025-03-25 03:50:24,0.0006465422920883001,1.034550223267e-11,0.0,176.0,-120.4375,4.948777565021001e-09,-2.248374380492,-3.788620233536e-06,0.002146815764718,-5.9492886066439995e-06,6493.290786742999,186624.0,7.450580596924e-08,1.175427622947,2.123415470123e-07,0.5038398486662999,268.125,3.077712037414,-4.468757570261001e-09,-4.360895934534e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,186876.0
I02,2025-03-25 04:05:36,0.0006465516053140001,1.0004441719499999e-11,0.0,177.0,-120.37500000000001,4.9387771484630005e-09,-2.181923477231,-3.8072466850279995e-06,0.002146895742044,-5.967915058135999e-06,6493.2902832029995,187536.0,6.332993507385e-08,1.175423671605,2.160668373108e-07,0.5038394946402,268.75,3.077772809957,-4.4616144155770004e-09,-4.40732643998e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,187740.0
I02,2025-03-25 04:20:48,0.0006465618498623,1.0913936421279999e-11,0.0,178.0,-119.5,4.9287767319060004e-09,-2.11544168738,-3.799796104431e-06,0.0021469081984830003,-5.979090929030999e-06,6493.290018082,188448.0,4.842877388e-08,1.175419891425,2.197921276093e-07,0.5038391976677999,268.875,3.077802532064,-4.4544712608939995e-09,-4.457328522767e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,188652.0
I02,2025-03-25 04:36:00,0.0006465725600719,1.1482370609879999e-11,0.0,179.0,-118.12499999999999,4.918776315348e-09,-2.048750512991,-3.7774443626399997e-06,0.00214661390055,-5.975365638733e-06,6493.291477203,189360.0,2.9802322387700004e-08,1.175415730886,2.197921276093e-07,0.5038387397744,268.5,3.077623108087,-4.448756737146e-09,-4.5109021828970005e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,189564.0
I02,2025-03-25 04:50:24,0.0006465814076364,1.0800249583549998e-11,0.0,180.0,-116.56249999999999,4.908775898791e-09,-1.985719660577,-3.7439167499539996e-06,0.002146666753106,-5.956739187241e-06,6493.291355132999,190224.0,1.4901161193850002e-08,1.175412080905,2.160668373108e-07,0.5038384033033,267.5625,3.077603336749,-4.443042213399001e-09,-4.560904265684e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,190476.0
I02,2025-03-25 05:05:36,0.0006465916521847001,1.1482370609879999e-11,0.0,181.0,-114.8125,4.9002041131700005e-09,-1.919160728131,-3.699213266373e-06,0.002146661398001,-5.9232115745539995e-06,6493.291488647001,191136.0,3.725290298462e-09,1.175408006679,2.123415470123e-07,0.503837961502,266.125,3.077556235176,-4.438756320589e-09,-4.6180495031550005e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,191340.0
I02,2025-03-25 05:20:48,0.0006466023623943,1.1823431123050001e-11,0.0,182.0,-113.3125,4.8902036966130005e-09,-1.85250896768,-3.6619603633879997e-06,0.0021465296158570003,-5.874782800674e-06,6493.292367935,192048.0,-7.450580596924e-09,1.17540422211,2.0489096641539998e-07,0.5038375928467,264.25,3.077415895982,-4.434470427779e-09,-4.671623163285e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,192300.0
I02,2025-03-25 05:36:00,0.0006466135382652001,1.193711796077e-11,0.0,183.0,-112.00000000000001,4.883060541929e-09,-1.785893000446,-3.624707460403e-06,0.00214648374822,-5.8151781558989996e-06,6493.2929210659995,192960.0,-1.862645149231e-08,1.175400267842,1.974403858185e-07,0.5038371832296,262.0625,3.077311550424,-4.430184534968001e-09,-4.725196823414e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,193164.0
I02,2025-03-25 05:50:24,0.0006466247141361,1.205080479849e-11,0.0,184.0,-111.125,4.875917387245e-09,-1.72278662635,-3.5986304283139998e-06,0.002146455575712,-5.7555735111239994e-06,6493.293411255,193824.0,-2.607703208923e-08,1.175396522772,1.862645149231e-07,0.5038367823901,259.9375,3.077216163776,-4.428755904031e-09,-4.771627328860001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,194076.0
I02,2025-03-25 06:05:36,0.0006466344930232,1.0913936421279999e-11,0.0,185.0,-110.43750000000001,4.871631494435001e-09,-1.656165537439,-3.5800039768219998e-06,0.002146409125999,-5.6922435760499995e-06,6493.294027328,194736.0,-2.9802322387700004e-08,1.175392490969,1.7508864402769998e-07,0.5038363435145999,257.75,3.077106667284,-4.427327273095e-09,-4.818057834305e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,194940.0
I02,2025-03-25 06:20:48,0.0006466447375715,1.1368683772159999e-11,0.0,186.0,-110.125,4.867345601624e-09,-1.589580012068,-3.5725533962249997e-06,0.0021464375313369997,-5.636364221573e-06,6493.294351578,195648.0,-3.3527612686160006e-08,1.175388583515,1.676380634308e-07,0.5038359134167,255.68749999999997,3.077032715312,-4.425898642158e-09,-4.850202030383e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,195852.0
I02,2025-03-25 06:36:00,0.0006466568447649001,1.1482370609879999e-11,0.0,187.0,-110.0625,4.8644883397510005e-09,-1.523069647039,-3.568828105927e-06,0.0021464630262930003,-5.584210157393999e-06,6493.294233322,196560.0,-3.3527612686160006e-08,1.175384607304,1.639127731323e-07,0.5038354672267,253.93750000000003,3.077033958792,-4.425898642158e-09,-4.875203071777e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,196764.0
I02,2025-03-25 06:50:24,0.0006466675549746001,1.2278178473929998e-11,0.0,188.0,-110.1875,4.8616310778770006e-09,-1.459892826122,-3.5725533962249997e-06,0.002146397950128,-5.543231964111e-06,6493.295291901,197424.0,-3.3527612686160006e-08,1.175380556484,1.601874828339e-07,0.5038350400546,252.625,3.076868144343,-4.425898642158e-09,-4.885917803802001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,197676.0
I02,2025-03-25 07:05:36,0.0006466754712164,9.890754881781e-12,0.0,189.0,-110.31249999999999,4.863059708814e-09,-1.393385130918,-3.576278686523e-06,0.002146509941667,-5.505979061127e-06,6493.295166016,198336.0,-2.9802322387700004e-08,1.175376593439,1.564621925354e-07,0.5038346128825001,251.3125,3.076872212718,-4.428755904031e-09,-4.878774649119e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,198588.0
I02,2025-03-25 07:20:48,0.0006466857157648,1.0118128557220001e-11,0.0,190.0,-110.56250000000001,4.8616310778770006e-09,-1.327056777767,-3.5800039768219998e-06,0.002146533224732,-5.4985284805299995e-06,6493.293897629,199248.0,-2.9802322387700004e-08,1.175372971254,1.564621925354e-07,0.5038341535263,250.99999999999997,3.077055295453,-4.428755904031e-09,-4.871631494435e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,199452.0
I02,2025-03-25 07:36:00,0.0006466987542808001,1.296029950026e-11,0.0,191.0,-110.56250000000001,4.8616310778770006e-09,-1.260332700887,-3.5800039768219998e-06,0.0021464840974660003,-5.505979061127e-06,6493.2953395839995,200159.99999999997,-3.3527612686160006e-08,1.175368535686,1.601874828339e-07,0.5038337351317,251.25000000000003,3.07684283586,-4.428755904031e-09,-4.853773607725001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,200364.0
I02,2025-03-25 07:50:24,0.0006467089988291,1.193711796077e-11,0.0,192.0,-110.25,4.86020244694e-09,-1.197357733407,-3.568828105927e-06,0.002146463608369,-5.532056093216e-06,6493.29514122,201024.0,-3.725290298462e-08,1.175364661879,1.639127731323e-07,0.503833319663,252.0,3.076878889476,-4.425898642158e-09,-4.828772566331e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,201276.0
I02,2025-03-25 08:05:36,0.0006467215716839,1.3301360013429998e-11,0.0,193.0,-109.375,4.86020244694e-09,-1.13090897771,-3.542751073837e-06,0.002146415296011,-5.569308996201e-06,6493.294801712,201935.99999999997,-4.842877388e-08,1.175360552542,1.7136335372919998e-07,0.503832889565,253.375,3.076941797879,-4.4230413802840005e-09,-4.789485215569e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,202188.0
I02,2025-03-25 08:20:48,0.0006467332132161001,1.205080479849e-11,0.0,194.0,-107.8125,4.86020244694e-09,-1.064414448769,-3.494322299957e-06,0.0021463504526760004,-5.6214630603789995e-06,6493.294816971,202848.0,-5.960464477539e-08,1.175356359819,1.7136335372919998e-07,0.5038324784851,255.1875,3.076958916947,-4.418755487474e-09,-4.746626287466e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,203052.0
I02,2025-03-25 08:36:00,0.0006467434577644,1.2164491636209999e-11,0.0,195.0,-105.5,4.86020244694e-09,-0.9980953017613001,-3.427267074585e-06,0.0021461872383950003,-5.677342414855999e-06,6493.293569565,203760.0,-7.450580596924e-08,1.175352292906,1.7136335372919998e-07,0.5038320542388001,257.1875,3.077151545222,-4.4130409637270004e-09,-4.693052627337e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,203964.0
I02,2025-03-25 08:50:24,0.0006467560306191001,1.341504685115e-11,0.0,196.0,-102.4375,4.86020244694e-09,-0.9352031617769001,-3.34158539772e-06,0.002146024140529,-5.729496479034e-06,6493.292877197,204624.0,-8.940696716309e-08,1.175348364971,1.7136335372919998e-07,0.503831675343,259.0625,3.07727055507,-4.405897809043e-09,-4.6394789672070004e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,204876.0
I02,2025-03-25 09:05:36,0.0006467658095062,1.193711796077e-11,0.0,197.0,-98.625,4.8616310778770006e-09,-0.8688644145933001,-3.237277269363e-06,0.002145664766431,-5.7704746723179996e-06,6493.291528702,205535.99999999997,-1.080334186554e-07,1.175344204432,1.639127731323e-07,0.5038312979102,260.75,3.077443526115,-4.395897392485e-09,-4.585905307078e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,205788.0
I02,2025-03-25 09:20:48,0.0006467751227319,1.1709744285329999e-11,0.0,198.0,-94.1875,4.8616310778770006e-09,-0.8025689098051001,-3.118067979813e-06,0.002145214704797,-5.800276994705e-06,6493.28972435,206448.0,-1.229345798492e-07,1.175340166779,1.527369022369e-07,0.5038308853673,261.9375,3.077659723464,-4.385896975928001e-09,-4.528760069606e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,206700.00000000003
