satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R01,2025-03-25 00:15:00,0.00011911615729330001,9.094947017729001e-13,172830.0,4289.78125,0.16040802001950002,-2.793967723846e-09,0.0,25150.72412109,-0.09161567687988001,0.0,1.0,-444.4365234375,-3.572891235352,-1.862645149231e-09,0.0
R01,2025-03-25 00:45:00,0.00011911801993850001,9.094947017729001e-13,174630.0,4356.681640625,-0.1234903335571,-2.793967723846e-09,0.0,24210.53564453,-0.9353418350220001,1.862645149231e-09,1.0,-6775.455566406,-3.415927886963,-9.313225746155e-10,0.0
R01,2025-03-25 01:15:00,0.0001191208139062,9.094947017729001e-13,176430.0,3727.696777344,-0.601996421814,-2.793967723846e-09,0.0,21878.25,-1.62202835083,2.793967723846e-09,1.0,-12582.96386719,-2.994963645935,-9.313225746155e-10,0.0
R01,2025-03-25 01:45:00,0.0001191236078739,9.094947017729001e-13,178230.0,2121.0439453120002,-1.193786621094,-1.862645149231e-09,0.0,18515.62109375,-2.069398880005,3.725290298462e-09,1.0,-17417.99560547,-2.34238910675,0.0,0.0
R01,2025-03-25 02:15:00,0.00011912547051910001,9.094947017729001e-13,180030.0,-575.150390625,-1.79406452179,-9.313225746155e-10,0.0,14598.885253909999,-2.234202384949,3.725290298462e-09,1.0,-20906.50585938,-1.508522033691,0.0,0.0
R01,2025-03-25 02:45:00,0.00011912826448680002,9.094947017729001e-13,181830.0,-4275.968261719,-2.292071342468,0.0,0.0,10641.56201172,-2.118741035461,3.725290298462e-09,1.0,-22778.34130859,-0.5577373504638999,9.313225746155e-10,0.0
R01,2025-03-25 03:15:00,0.00011913012713190001,9.094947017729001e-13,183600.0,-8705.780761719,-2.589695930481,9.313225746155e-10,0.0,7112.200195312,-1.769875526428,2.793967723846e-09,1.0,-22888.22558594,0.43648719787600004,1.862645149231e-09,0.0
R01,2025-03-25 03:45:00,0.0001191329210997,9.094947017729001e-13,185400.0,-13436.509277340001,-2.618112564087,9.313225746155e-10,0.0,4360.663085937999,-1.270668983459,1.862645149231e-09,1.0,-21227.127929690003,1.397227287292,1.862645149231e-09,0.0
R01,2025-03-25 04:15:00,0.0001191347837448,9.094947017729001e-13,187200.0,-17951.921875,-2.349662780762,1.862645149231e-09,0.0,2565.106445312,-0.7260751724243,0.0,1.0,-17923.11865234,2.250061988831,1.862645149231e-09,0.0
R01,2025-03-25 04:45:00,0.00011913664638999999,9.094947017729001e-13,189000.0,-21727.47607422,-1.803003311157,9.313225746155e-10,0.0,1708.3647460939999,-0.2450313568115,0.0,1.0,-13231.602539059999,2.928855895996,1.862645149231e-09,0.0
