satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
G01,2025-03-25 00:00:00,93.125,4.482329564161e-09,-1.516753163223,4.736706614494e-06,0.0004224966978654,7.888302206993e-06,5153.736654282,172800.0,3.5390257835390003e-08,2.996948369375,-4.0978193283079996e-08,0.9599431341018001,226.75,-0.030671632613750003,-8.137481815924e-09,1.8893644138970001e-10,165618.0
G01,2025-03-25 02:00:00,96.4375,4.495544400326e-09,-0.4688657856848,4.967674612999e-06,0.00042231264524160005,7.510185241699e-06,5153.734966278,180000.0,2.421438694e-08,2.996889742933,-2.421438694e-08,0.9599445706874001,234.59374999999997,-0.0284157544188,-8.134981711784e-09,2.007226466182e-10,172818.0
G01,2025-03-25 04:00:00,90.375,4.428398746297e-09,0.5822018192255001,4.692003130913e-06,0.0004228547913954001,7.400289177895e-06,5153.735942841,187200.0,6.891787052155e-08,2.996831357872,-9.313225746155e-09,0.9599462325623,238.6875,-0.029341193469909998,-8.086051102199002e-09,1.975082270104e-10,180018.0
G01,2025-03-25 06:00:00,87.125,4.3605387768e-09,1.631520632846,4.399567842484e-06,0.0004224828444421,7.601454854012e-06,5153.736221313,194400.0,2.2351741790770002e-08,2.996773486296,2.0489096641539998e-08,0.9599476003907,232.06250000000003,-0.02851760716423,-8.055335537058e-09,1.6750697733800001e-10,187218.0
G01,2025-03-25 08:00:00,81.75,4.251962825604001e-09,2.678442010466,4.319474101066999e-06,0.00042214617133140006,8.028000593185e-06,5153.738710403,201600.0,-2.0489096641539998e-08,2.99671538943,5.587935447693e-09,0.9599489711449,221.59375,-0.025299095226010003,-8.030691653399e-09,1.9536528060530002e-10,194418.0
G01,2025-03-25 10:00:00,82.9375,4.244462513186e-09,-2.554546588879,4.401430487633e-06,0.00042423559352759997,8.989125490189e-06,5153.7347812650005,208800.0,1.862645149231e-08,2.996657713885,2.793967723846e-08,0.9599505320785,206.56249999999997,-0.02535522446687,-7.99247577584e-09,1.896507568581e-10,201618.0
G01,2025-03-25 12:00:00,93.9375,4.164459180726e-09,-1.5007794627,4.921108484268e-06,0.0004234064836055001,9.307637810706999e-06,5153.738059998,216000.0,-7.450580596924e-08,2.996600683487,-2.2351741790770002e-08,0.9599517857993001,200.21874999999997,-0.02898237184926,-7.957474317889e-09,1.1464763267689999e-10,208818.0
G01,2025-03-25 14:00:00,100.40625000000001,4.284821337150001e-09,-0.4531238260147,5.079433321953e-06,0.0004229069454595,9.061768651009e-06,5153.735900879,223200.00000000003,7.078051567078001e-08,2.996543737937,-2.0489096641539998e-08,0.9599519862191,206.12499999999997,-0.02649805460748,-8.031763126602e-09,1.1786205228469998e-11,216018.0
G01,2025-03-25 16:00:00,95.8125,4.351252675711e-09,0.5976986889152001,4.9006193876269995e-06,0.0004236289532855001,8.489936590195e-06,5153.7372112269995,230399.99999999997,4.2840838432310007e-08,2.996485816622,3.725290298462e-09,0.9599519452574001,211.65625,-0.02717999094429,-8.055692694793001e-09,6.785996949726e-12,223218.0
G01,2025-03-25 18:00:00,87.90625,4.428041588563e-09,1.648875069099,4.7218054533e-06,0.00042293628212060005,8.724629878998e-06,5153.735908508,237600.0,4.0978193283079996e-08,2.996427866048,4.0978193283079996e-08,0.9599519935337,209.3125,-0.02821424623089,-8.047478066906002e-09,1.2857678431059999e-11,230418.0
G01,2025-03-25 20:00:00,79.4375,4.376968032573e-09,2.695258013869,4.172325134277e-06,0.0004223186988384,9.303912520409e-06,5153.739034653,244800.0,-6.891787052155e-08,2.996369663852,1.3038516044620001e-08,0.9599525450538,199.15625,-0.02445632713848,-7.985332621156001e-09,8.786080261224e-11,237618.00000000003
G01,2025-03-25 22:00:00,78.53125,4.432684639108e-09,-2.538085581566,4.095956683159e-06,0.0004248215118423001,1.0276213288310002e-05,5153.734312056999,252000.0,-5.2154064178470006e-08,2.996312193115,-2.421438694e-08,0.9599532311624,181.1875,-0.02415634847173,-7.979260939675e-09,9.678974596713998e-11,244817.99999999997
G01,2025-03-25 22:59:44,85.53125,4.412683805993e-09,-2.013662250235,4.379078745842e-06,0.0004242594586685,1.033395528793e-05,5153.735992432,255584.0,1.117587089539e-08,2.996283281465,-7.264316082001e-08,0.9599535149685,179.78125,-0.025841862703020003,-8.019976921373001e-09,1.328626771209e-10,248417.99999999997
G02,2025-03-25 00:00:00,82.25,4.419826960677e-09,-0.07524843469649001,4.163011908530999e-06,0.01615555223543,8.691102266312e-06,5152.869955063,172800.0,-1.0058283805849999e-07,2.832758605778,-2.607703208923e-07,0.9662687991911,219.0,-1.011127935686,-8.27677333226e-09,1.217907873609e-10,165618.0
G02,2025-03-25 01:59:44,81.03125,4.37161066656e-09,0.9730606860319,3.954395651817e-06,0.01615586737171,8.277595043182e-06,5152.870874405,179984.0,1.5832483768459998e-07,2.832699113288,-3.8743019103999994e-07,0.9662702094442001,223.96875,-1.011099991025,-8.126052768429e-09,1.235765760318e-10,172818.0
G02,2025-03-25 04:00:00,84.0625,4.180531278765e-09,2.02603266357,4.291534423828e-06,0.01615591638256,7.981434464455e-06,5152.871891022,187200.0,2.477318048477e-07,2.83264348144,9.126961231232e-08,0.9662721712172999,225.84375,-1.011068206203,-7.706035273015e-09,-4.6073347711289994e-11,180018.0
G02,2025-03-25 06:00:00,83.40625,4.053025967657e-09,3.076618007295,4.271045327187e-06,0.0161537588574,8.784234523772999e-06,5152.876560211001,194400.0,1.229345798492e-07,2.832587441437,2.626329660416e-07,0.9662721624398,207.40625,-1.010986174535,-7.672462446000001e-09,8.071764792831001e-11,187218.0
G02,2025-03-25 08:00:00,83.8125,3.968379584653e-09,-2.155933874431,4.72366809845e-06,0.01615399576258,9.404495358467e-06,5152.8757438659995,201600.0,-3.5390257835390003e-08,2.832532216279,3.4086406230929997e-07,0.966272640814,201.28125,-1.010955153357,-7.729250525737e-09,9.536111503034999e-11,194418.0
G02,2025-03-25 10:00:00,75.125,4.109099731926e-09,-1.105378255738,3.950670361519e-06,0.0161543317372,1.027062535286e-05,5152.872320175,208800.0,-2.440065145493e-07,2.83247410771,-1.862645149231e-09,0.9662722414374001,191.3125,-1.010843504912,-8.088551206339e-09,2.103659054415e-10,201618.0
G02,2025-03-25 12:00:00,76.6875,4.1191001484829996e-09,-0.05471396856498,3.982335329056e-06,0.0161540369736,1.0097399353980002e-05,5152.871770859,216000.0,-1.229345798492e-07,2.832417042202,-3.2596290111539996e-07,0.9662730182469,193.28125,-1.010840514708,-8.124266979758e-09,-4.53590322429e-11,208818.0
G02,2025-03-25 14:00:00,79.0625,4.214818421248e-09,0.9959448429061001,3.6805868148799997e-06,0.01615382370073,9.583309292793e-06,5152.871541977001,223200.00000000003,1.8812716007229998e-07,2.832358550348,-3.483146429062e-07,0.9662727534587001,196.03125,-1.010830123601,-8.045335120501001e-09,-9.321816862518e-11,216018.0
G02,2025-03-25 16:00:00,81.75,4.151601502295e-09,2.046580202337,4.343688488007e-06,0.01615392277017,9.067356586456e-06,5152.872577667,230399.99999999997,2.328306436539e-07,2.832303265211,8.195638656615999e-08,0.9662729494897001,198.8125,-1.010797602932,-7.68353433576e-09,-2.492960984689e-10,223218.0
G02,2025-03-25 18:00:00,79.25,4.144458347611e-09,3.097191782035,4.2393803596499996e-06,0.01615218643565,1.0067597031590002e-05,5152.876188278,237600.0,1.0058283805849999e-07,2.832247105249,3.054738044739e-07,0.9662716679735001,184.8125,-1.010741397619,-7.648532877809e-09,-7.286017777599999e-11,230418.0
G02,2025-03-25 20:00:00,77.375,4.118742990749001e-09,-2.135352665141,4.280358552933e-06,0.016152134398,1.055374741554e-05,5152.875930786,244800.0,-9.126961231232e-08,2.832192045401,3.5017728805539996e-07,0.9662711588780001,179.3125,-1.010716865946,-7.69032033271e-09,-4.2501770369329994e-11,237618.00000000003
G02,2025-03-25 22:00:00,65.8125,4.325180161115001e-09,-1.08482040925,3.3359974622730002e-06,0.01615243253764,1.142546534538e-05,5152.871765137,252000.0,-2.4028122425079997e-07,2.832133524289,-1.266598701477e-07,0.9662696037961,168.40625,-1.010580229397,-8.141410551000001e-09,1.346484657919e-10,244817.99999999997
G02,2025-03-25 23:59:44,66.53125,4.333751946735e-09,-0.03649032783148,3.3546239137649998e-06,0.01615221076645,1.1254101991650002e-05,5152.87131691,259184.0,-8.940696716309e-08,2.832075313316,-2.5145709514619995e-07,0.9662703893831002,169.90625,-1.010575436878,-8.185698110040002e-09,4.464471677450999e-11,255785.99999999997
G03,2025-03-25 00:00:00,2.5,4.121957410357e-09,2.631220988344,-3.911554813385e-08,0.005893599009141,2.3543834686279996e-06,5153.558242798,172800.0,-4.656612873077e-08,-2.310213997732,-7.636845111847e-08,0.9887127274423,345.5,1.13187417156,-8.067478900021e-09,3.2858511546039994e-11,165618.0
G03,2025-03-25 02:00:00,-7.40625,4.271249343251e-09,-2.601688513947,-3.0733644962309997e-07,0.00589510134887,2.266839146614e-06,5153.555448532,180000.0,9.685754776001e-08,-2.310272935775,-1.6763806343080003e-08,0.9887131838727001,350.78125,1.131848977184,-8.124981295227001e-09,1.471489864888e-10,172818.0
G03,2025-03-25 04:00:00,-5.25,4.260891768959e-09,-1.551481409154,-1.1548399925229999e-07,0.005894972826354001,2.443790435791e-06,5153.55512619,187200.0,6.332993507385e-08,-2.310331477368,3.911554813385e-08,0.9887143790768,347.75,1.131893091479,-8.127838557100001e-09,1.6857845054059998e-10,180018.0
G03,2025-03-25 06:00:00,-0.28125,4.2716065009850005e-09,-0.5013427791677,7.264316082001e-08,0.005895027657971,2.9020011425019996e-06,5153.554096222,194400.0,-2.0489096641539998e-08,-2.31039036421,3.725290298462e-08,0.9887151939222001,342.75,1.13200690358,-8.214627886510001e-09,1.703642392115e-10,187218.0
G03,2025-03-25 07:59:44,13.125,4.117671517547e-09,0.5466100522513,4.6379864215850004e-07,0.0058970949612560004,2.993270754814e-06,5153.558012009,201583.99999999997,-1.862645149231e-09,-2.310449493895,4.2840838432310007e-08,0.9887164505688001,335.875,1.131970402311,-8.223556829865001e-09,1.871506527187e-10,194658.0
