satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Data source,GAL Week,SISA signal,SV health,BGDa,BGDb,t_tm
E02,2025-03-25 00:00:00,38.625,3.450143712334e-09,-1.494395931886,1.911073923111e-06,0.0004373552510515,5.127862095832999e-06,5440.604103088,172800.0,2.0489096641539998e-08,0.9315609887630001,-1.862645149231e-08,0.9641771452539001,231.0,0.8596571168781001,-5.727381425568e-09,5.6073764268789996e-11,517.0,2359.0,3.12,0.0,-3.259629011154e-09,-4.19095158577e-09,173464.0
E02,2025-03-25 00:00:00,38.625,3.450143712334e-09,-1.494395931886,1.911073923111e-06,0.0004373552510515,5.127862095832999e-06,5440.604103088,172800.0,2.0489096641539998e-08,0.9315609887630001,-1.862645149231e-08,0.9641771452539001,231.0,0.8596571168781001,-5.727381425568e-09,5.6073764268789996e-11,258.0,2359.0,3.12,0.0,-3.259629011154e-09,0.0,173500.0
E02,2025-03-25 00:10:00,38.53125,3.4455006617900004e-09,-1.420136805781,1.9036233425139998e-06,0.00043729983735830004,5.172565579414e-06,5440.603946686,173400.0,2.793967723846e-08,0.9315575289617,-1.6763806343080003e-08,0.9641772081594001,230.375,0.8597838962847,-5.7227383750240006e-09,5.571660653459e-11,517.0,2359.0,3.12,0.0,-3.259629011154e-09,-4.19095158577e-09,174064.0
E02,2025-03-25 00:10:00,38.53125,3.4455006617900004e-09,-1.420136805781,1.9036233425139998e-06,0.00043729983735830004,5.172565579414e-06,5440.603946686,173400.0,2.793967723846e-08,0.9315575289617,-1.6763806343080003e-08,0.9641772081594001,230.375,0.8597838962847,-5.7227383750240006e-09,5.571660653459e-11,258.0,2359.0,3.12,0.0,-3.259629011154e-09,0.0,174100.0
E02,2025-03-25 00:20:00,38.375,3.4405004535110004e-09,-1.345863065125,1.8905848264689998e-06,0.00043724325951190006,5.2172690629960004e-06,5440.603796005,174000.0,3.3527612686160006e-08,0.9315540750121001,-1.4901161193850002e-08,0.9641772754536,229.81250000000003,0.8598960669913001,-5.717023851277001e-09,5.535944880038999e-11,517.0,2359.0,3.12,0.0,-3.259629011154e-09,-4.19095158577e-09,174664.0
E02,2025-03-25 00:20:00,38.375,3.4405004535110004e-09,-1.345863065125,1.8905848264689998e-06,0.00043724325951190006,5.2172690629960004e-06,5440.603796005,174000.0,3.3527612686160006e-08,0.9315540750121001,-1.4901161193850002e-08,0.9641772754536,229.81250000000003,0.8598960669913001,-5.717023851277001e-09,5.535944880038999e-11,258.0,2359.0,3.12,0.0,-3.259629011154e-09,0.0,174700.0
E02,2025-03-25 00:30:00,38.125,3.435143087498e-09,-1.271574676269,1.8719583749769998e-06,0.0004371860995889,5.25638461113e-06,5440.603652954,174600.0,4.0978193283079996e-08,0.9315506225254,-9.313225746155e-09,0.9641773485995,229.3125,0.8599935953509,-5.710595012061e-09,5.428797559779999e-11,517.0,2359.0,3.12,0.0,-3.259629011154e-09,-4.19095158577e-09,175264.0
E02,2025-03-25 00:30:00,38.125,3.435143087498e-09,-1.271574676269,1.8719583749769998e-06,0.0004371860995889,5.25638461113e-06,5440.603652954,174600.0,4.0978193283079996e-08,0.9315506225254,-9.313225746155e-09,0.9641773485995,229.3125,0.8599935953509,-5.710595012061e-09,5.428797559779999e-11,258.0,2359.0,3.12,0.0,-3.259629011154e-09,0.0,175300.0
E02,2025-03-25 01:00:00,37.09375,3.417999516257e-09,-1.04862896436,1.7900019884109999e-06,0.0004370118258521,5.345791578293e-06,5440.603258133,176400.0,5.587935447693e-08,0.9315403133417001,2.0489096641539998e-08,0.9641775797406,228.15625000000003,0.8602056438636,-5.689522705744001e-09,4.714482091387999e-11,516.0,2359.0,3.12,0.0,-3.259629011154e-09,-4.19095158577e-09,177394.0
E02,2025-03-25 01:00:00,37.09375,3.417999516257e-09,-1.04862896436,1.7900019884109999e-06,0.0004370118258521,5.345791578293e-06,5440.603258133,176400.0,5.587935447693e-08,0.9315403133417001,2.0489096641539998e-08,0.9641775797406,228.15625000000003,0.8602056438636,-5.689522705744001e-09,4.714482091387999e-11,258.0,2359.0,3.12,0.0,-3.259629011154e-09,0.0,177400.0
E02,2025-03-25 01:10:00,36.65625,3.4122849925090003e-09,-0.9742900887386,1.7583370208739997e-06,0.0004369532689452,5.3644180297849995e-06,5440.603134155001,177000.0,5.587935447693e-08,0.9315368930393,3.166496753693e-08,0.9641776602011,227.90625000000003,0.8602526927719,-5.681665235591e-09,4.3573243571919993e-11,517.0,2359.0,3.12,0.0,-3.259629011154e-09,-4.19095158577e-09,177664.0
E02,2025-03-25 01:10:00,36.65625,3.4122849925090003e-09,-0.9742900887386,1.7583370208739997e-06,0.0004369532689452,5.3644180297849995e-06,5440.603134155001,177000.0,5.587935447693e-08,0.9315368930393,3.166496753693e-08,0.9641776602011,227.90625000000003,0.8602526927719,-5.681665235591e-09,4.3573243571919993e-11,258.0,2359.0,3.12,0.0,-3.259629011154e-09,0.0,177700.0
E02,2025-03-25 01:20:00,36.21875,3.4065704687620005e-09,-0.8999404387258001,1.724809408188e-06,0.0004368936643004,5.37745654583e-06,5440.603010178,177600.0,5.4016709327700004e-08,0.9315334829772001,4.4703483581540004e-08,0.9641777391987001,227.71875,0.8602889628999,-5.674164923173e-09,3.928735076157e-11,517.0,2359.0,3.12,0.0,-3.259629011154e-09,-4.19095158577e-09,178264.0
