satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C01,2023-12-11 00:00:00,0.0008804854005579999,3.88133969409e-13,0.0,1.0,674.71875,-5.83274295716e-09,-0.318407767007,2.1817628294200004e-05,0.000435062102042,1.93482264876e-05,6493.45251656,86400.0,-2.39815562963e-07,-3.06282048373,-2.70083546638e-08,0.0618823973531,-593.984375,-0.36145375259400003,7.020292423360001e-09,-8.52178353792e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,86400.0,0.0
C01,2023-12-11 01:00:00,0.0008804866811260001,3.82804898891e-13,0.0,1.0,861.65625,-1.0248641182800001e-08,-0.0565347442019,2.8043519705500002e-05,0.000438677729107,-2.2491440176999998e-07,6493.461307529999,90000.0,-1.63447111845e-07,-2.70135566855,1.24797224998e-07,0.0644498858764,11.09375,-0.721994407314,1.13844027775e-08,-6.24668877109e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,90000.0,0.0
C01,2023-12-11 02:00:00,0.00088048807811,3.81028542051e-13,0.0,1.0,640.84375,-1.16865582206e-08,0.204325636469,2.1001324057600003e-05,0.00044092070311300003,-1.7744023352900002e-05,6493.46699333,93600.0,5.35510480404e-08,-2.36397394329,2.4819746613500004e-07,0.0689991602634,548.34375,-1.05747161658,1.27883898306e-08,-3.62515100209e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,93600.0,0.0
C01,2023-12-11 03:00:00,0.0008804894750940001,3.76587649953e-13,0.0,1.0,171.5,-1.16865582206e-08,0.463582969063,5.8482401073e-06,0.0004439516924320001,-2.6319641619900002e-05,6493.4750919299995,97200.0,1.7462298274000001e-07,-2.05566563312,1.4575198292699999e-07,0.0748955130245,807.9062499999999,-1.36232162936,1.2734459012799999e-08,-6.10739725475e-11,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,97200.0,0.0
C01,2023-12-11 04:00:00,0.000880491104908,4.2188474935800004e-13,0.0,1.0,-250.34375,-1.02347120311e-08,0.7315305222,-8.021481335160001e-06,0.000441826065071,-2.54074111581e-05,6493.46727562,100800.0,1.92783772945e-07,-1.77472534569,3.58559191227e-08,0.08149296049749999,775.578125,-1.64855746812,1.1341901007099999e-08,2.1072306317599998e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,100800.0,0.0
C01,2023-12-11 05:00:00,0.0008804926183070001,4.1922021409800003e-13,0.0,1.0,-545.078125,-8.00926218935e-09,1.00445699852,-1.7805956304100002e-05,0.00043963745702100003,-1.8124934285900003e-05,6493.4549598700005,104400.0,1.8673017621e-07,-1.51656187498,-1.58324837685e-08,0.0882358703039,550.546875,-1.91706639266,9.198240286490001e-09,4.2037465314900003e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,104400.0,0.0
C01,2023-12-11 06:00:00,0.0008804937824610001,3.6770586575600003e-13,0.0,1.0,-687.828125,-5.85310094801e-09,1.27727498777,-2.2626481950300005e-05,0.000438813702203,-7.7779404819e-06,6493.44382668,108000.0,1.1827796697599999e-07,-1.27618054218,-7.68341124058e-08,0.09468053207560001,234.34374999999997,-2.1677594722,7.11422490745e-09,5.95739100639e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,108000.0,0.0
C01,2023-12-11 07:00:00,0.000880494830199,3.39284156325e-13,0.0,1.0,-702.96875,-3.89623372235e-09,1.54352613378,-2.32034362853e-05,0.000438924646005,2.98023223877e-06,6493.4398384099995,111600.00000000001,3.3061951398799995e-08,-1.04917970474,-1.24331563711e-07,0.100482886498,-92.34375,-2.39857943576,5.1805729345100005e-09,7.3288767057e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,111600.00000000001,0.0
C01,2023-12-11 08:00:00,0.00088049727492,4.92050844514e-13,0.0,1.0,-619.046875,-2.1554469258700003e-09,1.8019437002,-2.04676762223e-05,0.000438232091255,1.23339705169e-05,6493.44446373,115199.99999999999,-3.91155481339e-08,-0.8319652377320002,-1.49011611938e-07,0.10538082254000002,-375.375,-2.61184908127,3.40835625743e-09,8.314632052080001e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,115199.99999999999,0.0
C01,2023-12-11 09:00:00,0.00088049902115,4.77839989799e-13,0.0,1.0,-461.921875,-6.1288267188e-10,2.05534551739,-1.52592547238e-05,0.000435413443483,1.91135331988e-05,6493.45621681,118800.0,-9.452924132350001e-08,-0.621650066472,-1.52736902237e-07,0.109179271778,-579.59375,-2.81326415152,1.7868601441800002e-09,8.939658086930001e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,118800.0,0.0
C01,2023-12-11 10:00:00,0.0008805005345490001,4.53859172467e-13,0.0,1.0,-247.953125,7.832469110920001e-10,2.30929824905,-8.162576705219999e-06,0.000431021209806,2.2812746465200004e-05,6493.47007942,122400.0,-1.39232724905e-07,-0.415874746944,-1.43423676491e-07,0.111739944566,-690.65625,-3.01073750018,2.9929818125600004e-10,9.257528470360001e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,122400.0,0.0
C01,2023-12-11 11:00:00,0.000880501698703,3.9435121834700005e-13,0.0,1.0,3.0,2.08580116771e-09,2.56716121737,1.42958015203e-07,0.000426908489317,2.3374799639e-05,6493.48110771,126000.0,-1.7415732145299999e-07,-0.21263051414900003,-1.28522515297e-07,0.11297492099,-707.578125,3.07356516644,-1.07540193766e-09,9.293244243780001e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,126000.0,0.0
C01,2023-12-11 12:00:00,0.0008805025136099999,3.27737836869e-13,0.0,1.0,265.546875,3.32120977029e-09,2.82877823536,8.80705192685e-06,0.00042507355101400004,2.10306607187e-05,6493.48564911,129600.0,-1.8859282136e-07,-0.0101031024348,-1.1874362826299999e-07,0.11284307111000001,-637.34375,2.87163505394,-2.34188326312e-09,9.05752013921e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,129600.0,0.0
C01,2023-12-11 13:00:00,0.000880504027009,3.6770586575600003e-13,0.0,1.0,507.71875,4.515902391180001e-09,3.09100487619,1.6763806343100003e-05,0.000426515704021,1.6159377992200002e-05,6493.48218155,133200.0,-1.71363353729e-07,0.193467593696,-1.1408701538999998e-07,0.11134847792800001,-491.21875,2.66806293146,-3.51800368183e-09,8.54678457931e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,133200.0,0.0
C01,2023-12-11 14:00:00,0.000880505191162,3.41060513165e-13,0.0,1.0,690.421875,5.723809848230001e-09,-2.93269278828,2.2741034627e-05,0.00043030106462499997,9.134877473119999e-06,6493.47255898,136800.0,-1.2340024113700002e-07,0.39992280732700003,-1.00117176771e-07,0.108540551504,-279.4375,2.46437693544,-4.6716231632799995e-09,7.72532179066e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,136800.0,0.0
C01,2023-12-11 15:00:00,0.0008805061224850001,3.03757019537e-13,0.0,1.0,776.875,7.09065249699e-09,-2.67677523329,2.55270861089e-05,0.00043464847840400005,4.87081706524e-07,6493.460050580001,140400.0,-7.59027898312e-08,0.611327564361,-4.98257577419e-08,0.104515872226,-17.875,2.25936149214,-5.96667710748e-09,6.54312969047e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,140400.0,0.0
C01,2023-12-11 16:00:00,0.000880507286638,3.12638803734e-13,0.0,1.0,736.34375,8.730006496950001e-09,-2.42180365526,2.4124979972800002e-05,0.00043767062015800007,-9.03476029634e-06,6493.4492988599995,144000.0,-6.10016286373e-08,0.8301308540310001,4.00468707085e-08,0.0994224040165,271.234375,2.04795812926,-7.54459997716e-09,4.97877881469e-10,0.0,936.0,0.0,2.0,0.0,-5.40000000271e-09,-9.800000000000002e-09,144000.0,0.0
