satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I02,2023-12-11 18:20:48,-0.0001506037078798,2.830802259268e-11,0.0,234.0,473.00000000000006,2.197234380774e-09,-0.45158895430970003,1.563876867294e-05,0.0017510397592560001,2.0630657672880003e-05,6493.403524398999,152448.0,1.0058283805849999e-07,3.100350862927,3.725290298462e-09,0.49817928026380004,-539.9375,-3.139220606533,-1.975796585573e-09,-6.478841298317e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,152784.0
I02,2023-12-11 18:36:00,-0.00015057995915410003,2.6716406864579996e-11,0.0,235.0,471.875,2.1986630117110002e-09,-0.3850752070137,1.561641693115e-05,0.001751091680489,2.0597130060200002e-05,6493.403560638,153360.0,9.685754776001e-08,3.100349082555,7.450580596924e-09,0.49817867168990004,-538.5,-3.139228544327,-1.98151110932e-09,-6.493127607685001e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,153648.0
I02,2023-12-11 18:50:24,-0.0001505580730736,2.580691216281e-11,0.0,236.0,473.18749999999994,2.2072347973320004e-09,-0.3220547266892,1.566484570503e-05,0.0017510835314169999,2.063810825348e-05,6493.403633118,154224.0,8.940696716309e-08,3.100347442624,1.862645149231e-08,0.4981780309318,-539.5,-3.139243640178,-1.991511525877e-09,-6.510985494395e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,154560.0
I02,2023-12-11 19:05:36,-0.00015053339302540002,2.796696207952e-11,0.0,237.0,476.375,2.2272356304469997e-09,-0.255652380605,1.5765428543090004e-05,0.001750545226969,2.077594399452e-05,6493.402238846001,155136.0,7.82310962677e-08,3.100345678345,2.9802322387700004e-08,0.4981773521378,-543.75,-3.139140138724,-2.0057978352450004e-09,-6.528843381104e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,155472.0
I02,2023-12-11 19:20:48,-0.0001505082473159,2.6716406864579996e-11,0.0,238.0,480.5,2.2572368801190004e-09,-0.18920594509560001,1.5892088413240003e-05,0.001749851042405,2.0999461412430003e-05,6493.400680542,156048.0,5.2154064178470006e-08,3.100344039877,5.587935447693e-08,0.4981766660292,-551.1875,-3.139080975391,-2.0257986683600005e-09,-6.560987577182e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,156384.0
I02,2023-12-11 19:36:00,-0.0001504817046225,2.569322532509e-11,0.0,239.0,483.875,2.2886667607290002e-09,-0.122816070388,1.59926712513e-05,0.001748821232468,2.1342188119890003e-05,6493.398077011,156960.0,3.725290298462e-08,3.10034220684,6.332993507385e-08,0.4981760047902,-562.375,-3.138964786049,-2.041513608665e-09,-6.571702309208e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,157248.0
I02,2023-12-11 19:50:24,-0.00015045562759040003,2.9785951483059994e-11,0.0,240.0,485.75,2.3215252722750004e-09,-0.05985699166111,1.6048550605770002e-05,0.001747617730871,2.1748244762420004e-05,6493.395242691,157824.0,2.2351741790770002e-08,3.100340451339,6.705522537231e-08,0.4981753654950001,-575.875,-3.138918095555,-2.054371287096e-09,-6.57527388655e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,158160.0
I02,2023-12-11 20:05:36,-0.0001504314132035,2.796696207952e-11,0.0,241.0,485.4375,2.357241045694e-09,0.006663073978062001,1.604110002518e-05,0.0017459588125350001,2.2251158952710004e-05,6493.391180038,158736.0,7.450580596924e-09,3.100338578803,6.705522537231e-08,0.4981746896269,-592.625,-3.138931997666,-2.062943072717e-09,-6.571702309208e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,159072.0
I02,2023-12-11 20:20:48,-0.00015040719881650002,2.6147972675969997e-11,0.0,242.0,482.25,2.391528188177e-09,0.07320661067489,1.595169305801e-05,0.001744360546581,2.2795051336290004e-05,6493.3873710630005,159648.0,3.725290298462e-09,3.100336690176,6.332993507385e-08,0.4981740781271,-610.8125,-3.138969053381,-2.068657596464e-09,-6.568130731866e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,159984.0
I02,2023-12-11 20:36:00,-0.0001503834500909,2.648903318914e-11,0.0,243.00000000000003,475.8125,2.4243866997230003e-09,0.1399092689712,1.5765428543090004e-05,0.0017426331760360002,2.3353844881060003e-05,6493.383195877,160560.0,3.725290298462e-09,3.100334798623,5.960464477539e-08,0.49817348125649996,-629.375,-3.139165381376,-2.0700862274010004e-09,-6.564559154524e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,160896.0
I02,2023-12-11 20:50:24,-0.0001503615640104,2.592059900053e-11,0.0,244.0,466.93749999999994,2.454387949395e-09,0.2031705280566,1.55083835125e-05,0.001740851672366,2.3864209651950003e-05,6493.378686905,161424.0,3.725290298462e-09,3.100333008011,5.587935447693e-08,0.49817292095890003,-646.1875,-3.139420457235,-2.0700862274010004e-09,-6.560987577182e-10,0.0,2292.0,,2.0,0.0,-1.862645149231e-09,,161808.0
