satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R15,2023-12-11 02:15:00,8.405093103647e-05,0.0,93600.0,1665.249511719,0.4920568466187001,3.725290298462e-09,0.0,-22045.37353516,-1.67458152771,-2.793967723846e-09,0.0,12736.188476559999,-2.966197013855,9.313225746155e-10,0.0
R15,2023-12-11 02:45:00,8.405093103647e-05,0.0,95399.99999999999,2150.5571289060003,0.07580947875977001,2.793967723846e-09,0.0,-24445.056152340003,-0.9599046707153001,-3.725290298462e-09,0.0,6973.874023438,-3.394850730896,1.862645149231e-09,0.0
R15,2023-12-11 03:15:00,8.404999971390001e-05,0.0,97200.0,2060.611328125,-0.13765907287600002,1.862645149231e-09,0.0,-25415.488769530002,-0.10344982147220001,-3.725290298462e-09,0.0,672.5122070312,-3.561210632324,2.793967723846e-09,0.0
R15,2023-12-11 03:45:00,8.404906839132e-05,-0.0,99000.0,1799.057617188,-0.11251354217530002,9.313225746155e-10,0.0,-24798.408691409997,0.7845897674561,-2.793967723846e-09,0.0,-5680.815429688,-3.452177047729,2.793967723846e-09,0.0
R15,2023-12-11 04:15:00,8.404906839132e-05,-0.0,100800.0,1794.5278320310001,0.1427812576294,0.0,0.0,-22641.78662109,1.588368415833,-1.862645149231e-09,0.0,-11594.61376953,-3.07599067688,3.725290298462e-09,0.0
R15,2023-12-11 04:45:00,8.404813706875e-05,-0.0,102600.0,2421.0649414060003,0.5769062042236001,-0.0,0.0,-19193.18066406,2.204982757568,-9.313225746155e-10,0.0,-16611.11035156,-2.46164226532,3.725290298462e-09,0.0
R15,2023-12-11 05:15:00,8.404720574617001e-05,-9.094947017729001e-13,104400.0,3927.8071289060003,1.104390144348,-0.0,0.0,-14861.086425779999,2.56093120575,-0.0,0.0,-20341.83837891,-1.656645774841,2.793967723846e-09,0.0
R15,2023-12-11 05:45:00,8.404627442360002e-05,-9.094947017729001e-13,106200.0,6389.834472656,1.620089530945,-0.0,0.0,-10150.65429688,2.623732566833,9.313225746155e-10,0.0,-22497.845703119998,-0.7233352661133,2.793967723846e-09,0.0
R15,2023-12-11 06:15:00,8.404534310101999e-05,-9.094947017729001e-13,108000.0,9688.558105469,2.017064094543,-0.0,0.0,-5584.402832031001,2.406746864319,2.793967723846e-09,0.0,-22912.154296880002,0.26598262786870003,1.862645149231e-09,0.0
R15,2023-12-11 06:45:00,8.404441177845e-05,-9.094947017729001e-13,109800.00000000001,13525.07763672,2.204816818237,0.0,0.0,-1621.043945312,1.966429710388,3.725290298462e-09,0.0,-21552.72509766,1.234661102295,9.313225746155e-10,0.0
